Column1;text
50;Как вуз? Где сын будет работать? Какая зарплата? Что за направление? Валят? А когда мне сделают личный кабинет в вашем эл журнале чтобы я могла следить за его успеваемостью и посещаемостью? А мне сделают пропуск чтобы я могла ходить к преподавателям и узнавать как мой сын себя ведет? Так-то он хороший просто с нормативами не очень А вы будете мне писать как у него дела? С кем он общается? Куда ходит? А расписание его пар скинете? А контакты его одногруппников мало ли что? Мы видели у вас на сайте группы повышенной сложности но туда берут от 250 баллов и мой сын расстроен что некоторых его однопоточников позвали на собеседование а его нет ну и что что у него 170 баллов и он на платном он чувствует себя подавленным из-за этого? А нам нужно приходить на посвящение вместе с ним? В смысле не пустят? А что я соседке своей прапрабабушки расскажу про сына? А первого сентября будет официальная линейка и получается нас пустят? А что из канцелярии нужно купить? Какой дресс-код? А где можно будет сменку оставить? А почему вы просите не писать вам с 22 до 10 вы же за это деньги получаете? А вы все 4 года будете помогать сыну? Он точно диплом получит? А вы мне скинете расписание посвящения чтобы мой лопух не пропустил? А можете рассказать что там будет может ему не будет интересно и я лучше к бабушке его отправлю? Я так понимаю вы работник института и всю важную информацию получаете раньше? А мы можем сейчас на море улететь просто сын давно его не видел? А когда у него практика будет? Где? За нее будут платить? А можно взять академ если он просто устанет учиться? А если ему не понравится направление как перейти? А если группа? А какое вообще расписание пар по времени а то он у меня поспать любит? А опаздывать можно пустят? А на лекции стоит ходить? А если его в группе будут обижать? А когда будет родительское собрание неизвестно? В смысле сейчас не будет? Вообще не будет? А если ему не дали общежитие что нам делать? Квартиры дорогие а вы с кем живете и где? А есть какая-то беседа для родителей? А мне как попасть в беседу первокурсников? Туда нельзя родителям значит вы что-то скрываете? Скажите честно сколько он будет спать? А много задают? А ему можно будет пересдать 3 и 4 чтобы был красный аттестат? А у вас есть программы двойного диплома? А как попасть на обучение заграницей? А как стать старостой? А хоть за это платят? А у вас же можно как в других вузах на 4 курсе сдавать долги за 1?
51;Легко ли получить автоматы на ФИТе?
52;Где можно посмотреть расписание пересдач?
53;Кто нибудь снимает квартиру и не прописан в общаге? Есть предложение заработать
54;Стоит ли поступить в этот вуз на профиль «художник анимации и компьютерная графика» учитывая что вуз сам по себе технический а не художественный? Заранее спасибо
55;Ребят если в сентябре пересдачи не закрыл то когда следующие будут?
56;Добро Группа 242-821 графдизайн мультимедиа ищу людей Как можно с вами скооперироваться?)
57;всем привет будет ли в этом году неофициальный посвят?
58;Привет Хочу поступить на графический дизайн ????Те кто поступили расскажите пожалуйста насколько возможно вообще поступить на бюджет по вступительным? Или по олимпиаде?
59;всем привет есть ли тут ребята из free dance family? хотела бы задать пару вопросов ?????
60;Можно ли написать дистанционно заявление на смену группы?
61;Всем привет) Перевожусь с другого университета на направление 090303 сказали что долг будет 15 предметов подскажите пожалуйста такое вообще реально закрыть? Если есть ребята с группы 231-363 очень хотелось с кем-нибудь пообщаться потому что есть много вопросов) 
62;Какое расписание физры на бс?
63;Есть кто то кто поступает на заочное обучение «надзорная и инспекторская деятельность в сфере охраны труда»? Хотела бы задать пару вопросов о вступительных экзаменах
64;"Всем привет Есть ребята со 2 3 курсов обучающиеся по направлению ""Информационные технологии управления бизнесом""? (отпишитесь в комментариях) Хотелось бы пообщаться с вами задать несколько вопросов)"
65;Здравствуйте подскажите пожалуйста кто проходил стажировки за границей от нашего ВУЗа можете ли рассказать ваше впечатление и опыт? Необходимо для проекта
66;как бы закрыть пересдачу по физре до первой пересдачи? срочно
67;Что такое лабораторные работы? Как они проходят?
68;ребят а как понять что тебя отчислили?присылают какое-то письмо/уведомление?
69;кто такая эта ваша душа и почему она мертвая кто посмел?
70;Есть ли тут староста или кто-то Из группы 233-332?
71;Что такое проектная деятельность важная ли она?
72;Сколько раз можно пропускать физру? Чтоб потом проблем не было
73;Приветствую Думаю переводиться к вам в вуз на направление 090302  насчитали 21 предмет академической разницы на 1 год Насколько реально это сдать и крайне желательно не сойти с ума при этом? В списке предметов есть физра введение в профессию навыки эффективной презентации и подобные предметы которые звучат как не что-то сложное Также можно ли частично сдавать АР летом ? Заранее спасибо
74;Здравствуйте спортивные залы можно посещать во вне учебное время или они только для пар?
75;подскажите как заочникам получить студенческий? писаличто через мфцно если можно поподробнее  пж
76;"Привет Кто-то может рассказать про шахматы? Как часто нужно ходить и считается ли это ""зачетом"" по физ-ре?"
77;Привет Кто может проконсультировать по поводу баскетбола в вузе? Заранее спасибо
78;Приветствую Остались преподы по физре которые могут проставлять посещаемость за походы в частные залы? Скажите пж фамилии и виды спорта 
79;привет Возможно ли перевестись после 1 семестра на очно-заочной специальности на другую ( похожую) специальность на очное? Например сдать какие-то дополнительные предметы? извините за такой тупой вопрос еще не особо разобралась во всем)
80;Привет при очно заочном обучении сколько дней в неделю пары?
81;Всем приветХочу к вам перевестись после 1-го семестра 1-го курса на направления ФИТа Сколько мест обычно освобождается к концу первого семестра на ПИ(это приоритет для меня) ИСИТ и ИВТ? Кто знает по опыту прошлых лет?  
82;Ищу людей с проекта FOOD Разработка упаковки пищевых продуктов или где можно узнать кто руководитель проекта?
83;Есть кто то кто на первом курсе учился по индивидуальному графику? Как его получить если планируешь работать по специальности?
84;Всем привет ?? Одобрили перевод на направление 200301Может ли кто-то ответит на пару вопросов?
85;за сколько пропусков отчисляют?
86;Что делать если 20 долгов на 3 курсе???
87;Ребята есть у кого расписание работы Фабрики и Сальникова на этот семестр? Когда какие пары они ведут? 
88;Как записаться на спортивные секции и мероприятия и где вообще их расписание лежит? На сайте не нашёл сорян
89;Есть кто поступает 220402 «Металлургия» заочно? Как проходят вступительные ? Есть ли ответы на билеты?) 
90;Есть кто-нибудь с группы 241-321(системная и программная инженерия)? Я первокурсник с этой группы Хочу еще спросить про куратора Со мной он еще не связывался Кто-нибудь знает как с ним связаться можно?
91;"Хотелось бы задать несколько вопросов про обучение в магистратуре по программе ""Современный издательский процесс инновационные практики"" Кому можно было бы написать? "
92;А как попасть в зону повышенной комфортности в общаге? 
93;Если не дали место в общежитии то есть ли вероятность того что могут дать место в течение 3 месяцев ну грубо говоря в течение 1 семестра?
94;Хочу к вам перевестись после 1-го семестра 1-го курса на направления ФИТа Сколько мест обычно освобождается к концу первого семестра на ПИ ИСИТ и ИВТ? Кто знает по опыту прошлых лет? 
95;Ребята сколько времени проходит между первой пересдачей и второй? 
96;"Привет ребята есть тут кто со второго курса машиностроения по направлению ""Машины и технологии обработки материалов давлением"" из группы 231-222? Добавьте меня в беседу пожалуйста Не "
97;Добрый день Подскажите пожалуйста а у студентов очно-заочного отделения не будет адаптивного курса как у очников?
98;как у очно-заочников проходит физкультура? Какие есть спортивные секции и можно ли в них принимать участие очно-заочникам или пары совпадают со временем занятий в секциях?
99;Есть ли кто-то с 4 курса ПМИ? Есть несколько вопросов
100;Когда будет готово расписание пересдач на осень? 
101;можно ли переселиться из одной комнаты в другую по причине несовместимости с соседом? 
102;нужно ли первокурсникам являться на линейку 2 сентября?
103;подскажите кто нибудь переводился с одного направления на другое? сложно ли это?
104;Всем салют Кто может подсказатьЕсли выйти с академа в с сентября сразу заселят в общягу или долго придётся ждать? И насколько долго?
105;Всем добрый деньМожет у кого-то был опыт и может им поделиться Помогает ли как-то политех оформить временную регистрацию если планируешь не в общаге жить а снимать квартиру (точнее уже снимаю)? Если да то каким образом это осуществляется? Просписка не МСК
106;У кого есть все лабы по офисным приложениям?Не бесплатно
107;Часто ли бывает дистант?
108;очно-заочники могут получить социалку или не могут как и стипендию?
109;Если в конкурсе на общежитие не проходишь по количеству женских мест но есть недобор на мужские места (76 из 81)  есть ли шанс что заселят на эти свободные места?
110;если у кого-то есть опыт подскажите как преподы относятся к постоянным пропускам пар из-за работы по специальности на 2 курсе очной формы (фит + фэиу)? есть ли возможность выстроить индивидуальный план обучения в таком случае? (в планах закрываться без 3)
111;Доброго часа Подскажитепожалуйста предоставляет ли вуз социальные карты москвича?
112;есть кто из второй общаги? мне надо как-то в беседу перваков попасть а то до сих пор жду пж
113;всем привет есть инфа о магистратуре (журналистика)? собрания начало учебы расписание и тд
114;Те кто поступили не из Москвы сколько у вас выходит примерно в месяц за проживание в общежитии проезды еда?
115;Кто-то переводился с платки на бюджет? Если да то каких усилий это стоило?
116;подскажите пожалуйста есть ли какие то варианты подработки во время учебы на 1 курсе? возможно волонтерство какое нибудь есть
117;Обязательно ли заселяться в общагу в день указанный в лк? Допустим если указано 2 сентября можно ли заселиться 3 или 4?
118;Кого-нибудь определили в 89 кв в 4 общаге?
119;Кто знает как быстро закрыть пересдачи по пд и физкультуре? ??
120;Всем привет Нет случайно никого кто проживает или собирается проживать в Зеленограде и ищет себе соседок? Мы - две девушки сейчас ищем квартиру для съема на долгий срок
121;Есть беседа для поступивших магистров?
122;Привет Такой вопрос когда кураторы будут добавлять в беседы?~ реклама и связи с общественностью
123;Всем привет Есть ли в Политехе какие-нибудь знаменитости?
124;а чаты для первого курса уже созданы???
125;Здравствуйте Подскажите стоит ли поступать в магистратуру на направление «Журналистика»? Программа сама интересная или готовят сугубо классических журналистов? И интересно ли преподают? (Те не старые преподаватели которые берут устаревшую информацию из книг)Заранее спасибо
126;Кто нибудь знает если не успеваешь подать доки га заселение в общежитие будет ли позже такая возможность??
127;здравствуйте можете рассказать про состояние первого общежития и есть ли чат общаги?
128;Доброго времени суток Есть ли у политеха какие то курсы/кружки не знаю как назвать по програмированию на плюсах и робототехнике для студентов из других вузов? Где можно посмотреть об этом информацию?
129;как условия в 6 общаге??? 
130;Здравствуйте Подскажите стоит ли поступать в магистратуру на направление «Журналистика»? Программа сама интересная или готовят сугубо  классических журналистов? И интересно ли преподают? (Те не старые преподаватели которые берут устаревшую информацию из книг)Заранее спасибо
131;Всем привет Кто-то может что-то рассказать о 2 общежитии? И вдруг тут кто-то есть из 512 комнаты?) ??
132;День добрый Хочу поступить на платную очку на направление «Теплоэнергетика и теплотехника» и есть некоторые вопросы по вступительным экзаменамМожет кто помочь?
133;Сколько предметов можно пересдать на пятёрку для красного диплома? И когда можно начинать пересдавать? (Я на 3 курсе троек не было и не планируется надеюсь D)
134;Почему парни для совместного проживания ищут только парней а девушки ищут только девушек?
135;Всем привет Кухонную утварь бытовые принадлежности лучше покупать по приезде в общежитие или что-то лучше взять с собой? Вопрос и к первокурсникам (как вы планируете) и к ребятам которые уже на опыте
136;Ребят профиль Интеллектуальные тепловые энергосистемы Теплоэнергетика и теплотехникаЕсть беседа первого курса?
137;ребят хочу поступить к вам скажите пж оправдались ли ваши ожидания перед поступлением или же мотивация учиться прошла?
138;Подскажите какой конкурс в аспирантуру много ли желающих обычно? И где найти конкретно эту информацию в цифрах на разные направления? Я из другого университета
139;Можно ли выйти в академ на платке с долгами за второй семестр? И как сохранить за собой место в общаге? Подскажите пожалуйста
140;Всем доброго дня У кого нибудь вела экономику Еременко Ольга Викторовна? плиз
141;старшекурсники с рекламы и связей с общественностью как вы совмещаете учебу и работу и с какого курса вы начали вообще работать? если не хотите в комменты писать то найду по лайкам ??
142;Можно кому-нибудь позадавать вопросы про магистратуру 010402?
143;"Всем привет В личном кабинете абитуриента заметила раздел ""Сведения для поступивших"" а там в свою очередь идет заполнение информации о студенте(фото СНИЛС родство справки полис ОМС и военный учет) Надо заполнять это сейчас? Если надо то все перечисленные справки надо также добавить? Даже если я не претендую на общежитие?"
144;"Всем привет Хотелось бы узнать создают ли беседы тем кто поступил на заочку? Та и в целом кто уже учился как проходит обучение? Если что направление 09030101 ""Веб-технологии"""
145;Всем приветПоступаю на рекламу в магистратуру думаю между заочной («Технологии анализа медиасферы») и очно-заочной формой обучения («Продюсирование в креативных индустриях»)Подскажите на двух формах обучения дистанционный формат?Буду признателен тем кто готов проконсультировать в сообщениях?
146;А когда начнутся занятия у очно-заочников 1 курс? Будет ли что-то вроде адаптива?
147;Всем приветКто жил в 8 общежитии расскажите как там условия есть тараканы/клопы?
148;Всем привет Подскажите пожалуйста на каких технических и айтишных направлениях легче всего учится и поступить на магистратуру? 
149;Тем кто возвращается из академического отпуска выдают место в общежитии? И можно ли выбрать какое именно общежитие?
150;Добрый вечер Кто может рассказать про учебу на биотехнологии? Хочу перевестись на 3 курс Отзовитесь пожалуйста в комментариях
151;Всем привет Как проходит информирование первокурсников очно-заочной формы обучения? У очников есть куратор который их собирает создает чат и тдА как это все происходит у очно-заочников?
152;Заочники этого года можете пожалуйста рассказать в каком формате проходила защита диплома? Дистанционно? Особенно интересует реклама Как в целом проходит? Были какие-то трудности?
153;"всем привет подскажите пожалуйста направление 22030101 "" Перспективные материалы и технологии"" очное обучение у нас есть какая-нибудь беседа?"
154;Всем привет????  Расскажите как в политехе проходит 1 сентября у первашей могут ли на нем присутствовать родители и/или подружки из других вузов? ????
155;Всем приветТут есть кто поступил на 210504 Горное дело 21050402 Шахтное и подземное строительство Маркшейдерское дело????Отпишитесь пожалуйста в комментариях
156;Когда должны связаться кураторы для добавления в группы первокурсников? Если уже с кем-то связались киньте ссылку
157;Есть кто в?з компьютер с собой в общежитие как у вас с интернетом?
158;Добрый день подскажите пожалуйста в каких числах сентября начинаются пары в магистратуре ?
159;Доброго утра дня вечера ночи Когда обычно проходит заседание комиссии и оглашение результатов с положительным или отрицательным результатом рассмотрения заявления на перевод с платного обучения на бюджет? Спасибо 
160;"09030106 ""Программирование электронных устройств и систем""Как у вас проходит учёба/практика?Очень нужны советы и информация от людей?? рассматриваю возможность поступления"
161;Если я иностранный студент но не планирую жить в общаге буду снимать квартиру Мне где то нужно указывать адрес этой квартиры или какие-то документы предоставлять?
162;Вы учитесь по субботам?
163;в каких числах обычно появляется расписание для 2-4 курсов?
164;Всем привет Ребятки тут есть те кто поступил на ЗАОЧКУ Издательского дела в этом году? У нас уже есть чат или что-нибудь такое? Отзовитесь пожалуйста??
165;Кто-то может посоветовать факультеты для перевода с технологий печатного и упаковочного производства для технолога? Спасибо У нас просто техническое направление слетело
166;Добрый день По какому принципу происходит распределение первокурсников по комнатам? Их селят вместе или к старшекурсникам? Учитывается ли их предпочтение?
167;"Всем привет есть ли ребята с заочного ""информатика и вычислительная техника""? Есть ли какие-то беседы для заочников?"
168;Расскажитеесть ли во 2 общаге комнаты повешенной комфортности? Или только комнаты где живут 3-4 человека?
169;11 общага под номером 7 или это другая новая общага?
170;Всем привет хочу поступить на графический дизайн мультимедиа на очно-заочную форму обучения но есть сомнения видела много негативных отзывов о этой форме хотела бы узнать все ли пары проходят онлайн насколько данный вид обучения качественный в вузе и стоит ли оно того?
171;Кто поступил на информационные технологии управления бизнесом? Знакомиться????
172;кто-нибудь из поступающих на рекламу заинтересован в создании чата? или если такой уже есть напишите об этом пожалуйста??
173;Всем привет а не кто случайно не создавал группу по специальности 110301 Радиотехника ?
174;Всем привет Как обстоят дела с 4 общагой? Слышал разное кто-то говорит что 4 - хорошая квартирка а кто-то что всё печально
175;Есть ли беседа для первокурсников? Если есть ссылку дайте пожалуйста
176;Есть кто из 6 общежития и может рассказать о нем? 
177;как проходит пересдача у норина по численным методам если часть лаб сдана? как и когда можно досдать?
178;Всем приветНа дне открытых дверей рассказывали что во время обучения можно получить ещё один диплом бесплатноЧто-то вроде дополнительных курсовГде можно почитать про это подробнее? Какие курсы существуют и что это вообще такое? Может быть кто-то уже обучался по ним и может рассказать что-то
179;Всем привет Дали 11 общагу Кто нибудь знает когда будет заселение в это общежитие? Я поставил в приоритет 1 сентября пишут  что в эту общагу заселяют с 16 сентября Как быть??? И еще знает ли кто нибудь сколько человек будет в блоке? И что вообще по кухне и санузлу? На этаже все? Или в блоке у каждого? Заранее спасибо
180;Всем добрый день В Политехе есть математические кружки?
181;Здравствуйте мне хотелось бы узнать как подать документы необходимые для зачисления в общежитие? 
182;приветик никто не создал беседу первокурсников по издательскому делу?
183;"ребят всем приветкто поступил на ""Инновации в металлургии"" 220302?напишите или оставьте реакцию может беседу создадим)"
184;Расскажите о магистратуре «Гоночный инжиниринг» Как вам ? Чего стоит или не стоит ожидать ? 
185; подскажите какая общага на данный момент ближе всего для профиля «перспективные материалы и технологии(материаловедение)»?
186;Привет всем Что можете сказать по общагам (какие лучше/хуже) какая лучше для системной и программной инженерии и какой нагрузки на этом профиле стоит ожидать?
187;Какие творческие кружки есть в университете? На сайте написано про театральный но группы давно заброшены Что-то подобное сейчас есть?
188;Кто с направлений магистратуры «Интеллектуальные системы» и «Мобильные технологии»? Хочу задать вопросы
189;есть здесь поступившие на 180302?с кем можно пообщаться?
