,text
117,Заочников касается? Или мы не счёт
118,🐱 Ждёте?  Уже завтра состоится Посвящение в студенты для первокурсников Московского Политеха и мы узнаем победителя конкурса «Лучшая группа адаптивного курса»   А как ваш куратор мотивирует группу на выполнение всех условий конкурса? 🍓  @mospolyab
119,Как сделать временную регистрацию для воинского учета?
120,Подскажите пожалуйста а для родителей завтра не будет офиц части посвящения в студенты?😳
121,Здрасвуйте такой вопрос при поступлении с красным дипломом спо есть какие отличия от обычного поступления после спо?
122,🧐 А ты уже был на ярмарке внеучебной деятельности на адаптиве?   Скорее выбирай понравившееся объединение и подавай заявку   Будем ждать тебя в нашей большой семье внеучебки Московского Политеха 💘  @mospolyab
123,"Может статус должен быть ""готово""?"
124,Надо распечатать форму 4 и придти в военкомат?
125,А в моей ситуации как закачать файл?
126,После того как заполнил форму 10 через сколько можно было заказать справку 4 ?
127,Всем привет  подскажите пожалуйста почему я не могу ее скачать Или она сразу в военкомат приходит ?
128,Ты в 5 общаге живешь? Ай как же хотел туда ……
129,😞 Адаптивный курс скоро всё? Для иногородних студентов — нет   Мы уверены что ребятам в общежитиях тоже есть что рассказать Какая именно поликлиника закреплена за адресом как переоформить полис что такое студсовет — ответы на эти и многие другие вопросы можно узнать на адаптиве в общежитии  Смотри карточки чтобы узнать актуальную информацию о том где и когда он будет именно для твоего общежития  @mospolyab
130,Заявление подаётся через лк онлайн или оффлайн?
131,Добрый день вышли приказы на бюджет с неправильной специализацией на моё направление црс сказал что всё исправят в течении недели Можно по существующему приказу обратиться в бухгалтерию или он будет перевыпущен?
132,кто то по квоте поступил в политех?
133,А что вообще делают амбассадоры? 👀
134,в чем разница между готово и выполнено?
135,Скажите пожалуйста если отсутствовал на адаптиве где теперь получить студенческий билет?
136,У кого-то была такая же проблема? Ввела логин правильно первый раз зашла
137,У секции шахмат есть какой нибудь тг канал или группа в вк?
138,Подскажите пожалуйста где и как можно взять справку для военкомата?
139,Какого учиться здесь в общем сложно ли?
140,Ребята какого учиться заочно здесь на Веб-технологии (Информатика и вычислительная техника)?
141,замечательный  Вы приехали в Турцию?
142,Всем добрый день Подскажите пожалуйста к кому я могу обратиться по поводу перезачётов некоторых дисциплин и сокращения срока обучения на заочной форме?
143,@papochka_vlados не хочешь модерский произвол исполнить?)
144,Добрый день Возможно ли перевестись из другого вуза (2 курс) на первый ? Хочу учиться в политехе но академ разница в 21 предмет на год слегка пугает
145,Здравствуйте 3 сентября у меня был экзамен( Магистратура графический дизайн) В СДО до сих пор не стоит оценка Скажите пожалуйста когда будут известны результаты и почему у меня до сих пор ничего не написано в СДО?
146,Есть инфа во сколько будет посвят?
147,А бомбер в новом дизайне уже можно заказать?
148,🐾 Кому мерч?  Магазин мерча работает во все дни адаптивного курса в корпусе на Павла Корчагина д 22 но не переживайте — вы также увидите его на посвящении в студенты  Успей приобрести мерч Московского Политеха пока его не разобрали 💃  @mospolyab
149,Ребят кто знает как долго делается карта Москвича если ещё нет в реестре студентов ? Я просто думаю покупать проездной на месяц или всё-таки подождать
150,а можешь сказать как её заказать? а то ищу её в лк
151,гайс скажите а где можно получить справку о месте обучения? ну для пенсионного и социального фонда
152,Доброе утро☀ 🌝⏰ дорогие первокурсники кто посещает адаптив  Вопросесть ли уже информация по повышенной стипендии высокобалльникам 1 семестр? А то на сайте одно написано при поступлении уже а может быть но не точно
153,Это про то что из дома можно сессию сдавать?
154,Почему вас так смущают дистантционные лекции? У вас семинары ОЧНО - и это главное Вы хотите чтоб ваш ребёнок задолбался от учёбы и ездил 6 дней в неделю посидеть на попе и послушать дедульку? Вы верите что он хотя бы слушать будет? Первые две недели возможно еще да а потом далеко нет А так есть возможность слушать всех этих дедулек дома и ничего от этого не меняется кроме обстановки К 3 курсе ездить даже на семинары перестанете
155,подскажите пожалуйста во сколько начинается адаптив?
156,Ребят  а справки для общаги нужно будет переделывать когда то или один раз и навсегда ?
157,А что если не нашли себя в реестре поступивших на Мос ру? Почему такое может быть? Или ещё не всех добавили
158,Например до какой темы вы дошли?)
159,Есть те кто на программирование учится интересно узнать как преподают мат анализ в этом вузе?
160,Если это ты то почему бы и нет?
161,Здесь собрались все красивые женщины?
162,Всем добрый вечер заселились в общежитие к девочкам 3 и 4 курс Дикий срач Я первый раз такое вижу Как поступить? Высказать? Заставить сделать уборку? Дочери с ними жить ещё потом проблемы будут
163,вопрос по поводу справки для товарища майора  мне нужно прикрепляться к Московскому военкомату если я живу в области и не живу в общаге?
164,получается уже можно оформить карту москвича?
165,Местом получения можно выбрать политех?
166,Общагу или прописку из паспорта?
167,В адресе регистрации что писать?
168,нет случайно инфы про второй конкурс заселения?
169,Здравствуйте сегодня есть мероприятия?
170,"под ""удостоверением гражданина подлежащего призыву"" понимается паспорт?"
171,не подскажете где в ЛК можно заполнить форму ф10?
172,🌟 5 и 6 сентября прошли организационные встречи для первокурсников  За это время студенты успели узнать много полезной информации познакомиться с кураторами тьюторами и  конечно же одногруппниками   Кто-то уже успел выбрать старосту а каким-то группам только предстоит это сделать   А кто староста в твоей учебной группе? 😎  @mospolyab
173,Регаю карту москвича писать родной адрес или общагу?
174,Подскажите пожалуйста в расписании физкультура написано (зал #3) МС это где?
175,в том то и дело что нет но вроде как все печати на месте я могу просто подписать группу здоровья?
176,В ней написана группа здоровья?
177,я могу просто подписать группу здоровья и что я допущена к физре?
178,подскажите эта же справка для физры не подойдёт? это 086у
179,Здравствуйте экзамены сдал прислали чек на оплату как быть? не могу дозвонится не могу поинтересоваться что и к чему
180,Добрый день У меня в дипломе СПО стоит девичья фамилия мне нужно как-то подтверждать что это мой диплом?
181,Подскажите пожалуйста до какого числа можно заключить договор на платное обучение по программе графический дизайн (магистратура) и как в институте реализуется очно-заочная форма обучения ?
182,Может есть все же какой-то номер?
183,Что вообще означает формулировка « следует уточнить по поводу подаваемого заявления»?
184,Подскажите пожалуйста кому позвонить чтобы узнать статус своей заявки на перевод ?
185,А тут типа просто купить промик и на твоем аккаунте будет баланс?
186,А если по другим словам посмотреть?
187,ребят кто то знает заочникам надо ехать куда то?
188,а зачем? просто просите чтобы вас соединили и всё
189,чет много в последнее время мусора сюда сыпется да?
190,Людипо конкурсу второму на обшагу нет инфы?
191,в этом году разве есть стипендия для олимпиадников?
192,А на стипендию по олимпиаде нужно писать заявление или оно само как то придет все?))
193,А чем онлайн курс отличается от сдо?
194,а вообще обязательно блокировать? или можно просто не активировать и пластик не забирать и все?
195,а первый сем повышенная стипендия у кого егэ высокое?
196,добрый вечер чатик скажите пожалуйста может ли стипендиальный отдел выплачивать степуху на другую карту даже если мск политех уже открыл свою карточку (но пластик не готов а я ее в лк сбера не активировал)? просто это уже будет 3-я золота карта которая мне ни к чему если честно)
197,Большая семеновская это какая станция метро?
198,А вкс это с камерой и ответом на вопросами?
199,Народ а нужно с собой в Москву брать справки которые для общежития я прикреплял в лк?
200,Разве беседы не создавали? Ого
201,только для фанатов или для пиратов-искателей клада?
202,А где учились если не секретик?
203,Удобно так учится или все таки на дистанте не так знания устаиваются?
204,Результаты второго конкурса пока ни у кого не появлялись?
205,То есть весь январь можно дома быть?
206,Практически вся учёба онлайн Мы точно учимся на очном…?)
207,Не подскажите в каком кабинете можно отозвать оригинал диплома абитуриенту? Заявление заполнил смогу ли успеть если подъеду к 1730?
208,ребятподскажите пожалуйстаа можно еще занести фотку на студак?
209,Здравствуйте  Кто подскажет подачу заявления в магистратуру закрыли досрочно?
210,Если есть кто с 420301 Реклама и связи с общественностью в цифровых медиа Залетайте в лучшую конфу по мнению меня https//tme/+ZvPl4gbgrKo2Yjli  Также для остальных есть файл с чатами остальных направлений https//docsgooglecom/spreadsheets/d/1PdWKGEshRxZSnaZo8XC42mWqA7wSP1VWCEs-cJili8E/edit?usp=sharing  Там несколько страниц смотрите вверху листа)
211,Кроме паспорта документа об образовании что еще нужно взять?
212,С собой же дополнительно нужно ток справку для физиы привезти ?
213,а долго ждать обработку заявки на общежитие в лк?
214,У всех не заходит в личный кабинет?
215,прикольно звучит интересно учиться?
216,А ты на каком направлении учишься?
217,к этому идут? я 4 года в бакалавриате думал что это база)
218,как по вашему опыту неклиентам Сбера как делали?
219,Хм… а в приложении сбера ничего нет?
220,Лекции с ноута в коворкинге общаги норм?
221,почему на меня не оформляют карту для стипендии?
222,Разве вы не берете оригиналы документов с собой?
223,а какой смысл в этих оригиналах если договор уже подписан?
224,а если нет 18 и нет оригинала свидетельства о рождении и  договора будут проблемы с заселением?
225,Что нужно для заселения в общежитие? Просто приехать с паспортом прямо в общежитие?
226,Кто уже сдавал вступительные в магистратуру по управлению качеством в индустрии? Есть один вопрос сориентироваться относительно первого блока тем Это общий парень направлений которые нужно знать или это также могут спросить помимо бланка вопросов?
227,а студ городок не работает сегодня? я просто вообще дозвониться не могу 🥲 и в тг не отвечают…
228,Кто то уже получил пропуск в общежитие (первокурсники)?
229,до скольки работает многофункциональный центр?
230,А со скольки до скольки заселение в общежитие?
231,А как получить справку от вуза чтобы школе предоставить ?
232,А чем отличается Online курс от Webinar?
233,Такс вопрос У нас нет четных/нечетных недель? Каждую неделю одно и то же расписание?
234,сих пор молчат на счет 2 волны общаги ?
235,А фотографию в лк нужно прикрепить до 5 числа?
236,а есть у кого-то адреса всех спортзалов?
237,Всем привет Приемная комиссия че не отвечает?
238,Ты много работал на разговорах о важном чтобы получить хоть что-то по этому предмету?
239,В чём разница между онлайн курсом и вебинаром?
240,И какие в этом плане хорошие коворкинги на пряниках?
241,А Интернет приличный и розетки есть?
242,Списки второй волны заселения опубликовали?
243,Ребят у вас тоже личный кабинет сайта не грузит?
244,Доброго дня всем товарищи Не подскажете есть ли в вузе коворкинг?
245,я надеюсь студак не 5 сент раздадут?
246,Подскажите по какому адресу находится студгородок? 🙏
247,а туалеты в корпусе есть или надо свой брать?
248,Подскажите пожалуйста а куда нести оригинал аттестата? И нужно ли его приносить если подавала документы через госуслуги?
249,А про то куда нести оригиналы документов расскажут на адаптиве?
250,Про 2 волну общаг до сих пор не известно ?
251,а дубак во всех общагах или в разных по разному?
252,всем доброе утро скажите пожалуйста что из постельных принадлежностей есть в общагах? надо ли что-то везти с собой?
253,Есть инфа когда будут известны списки на 2 волну?
254,Кто знает когда у нас будет возможность сменить общежитие ?
255,Кстати в отношении России есть такие прилагательные?
256,Да - почему вы захотели поставить виниры? - мороженое кусать больно
257,Прописку можно в универе получить если не в общаге живешь?
258,Дададада как ее можно пить? Зубки не болят потом ?
259,Ого  А насквозь можно ходить до мцд?
260,Существуют ли люди которые не любят колу?
261,почту ввел точно ту которая на госуслугах?
262,Здравствуйте У меня появился вопрос Что делать если при входе в свой аккаунт на сайте Политеха у меня появляется это? Я в этом году поступил в Политех аккаунт был создан в момент подачи документов в вуз но в итоге подавал их я уже через госуслуги Мне сказали зайти  в личный кабинет чтобы прикрепить фото но заходя в него я виже только этот экран
263,Результаты уже есть на общагу ?
264,здравствуйте я поступил в универ но мне не где жить где выбрать жильё и как?
265,ребята есть кто-нибудь из аспирантуры?
266,Разве у вас не предусмотрен свой полис? Или при переезде надо новый делать?
267,а кто-нибудь знает если справка утрачена её можно восстановить в поликлинике? или придётся заново проходить 10 кругов ада?
268,Как получить справку что я являюсь студентом?
269,А как студенты посещают поликлинику если полис из региона?
270,А если я зарегистрировалась в московской области  могу ли  прикрепиться к поликлинике в самой Москве ?
271,А как это сделать через лк студента?
272,Можно как то переоформленную квитанцию на оплату обучения получить на почту?
273,как думаете сильно важно ехать на первый 1-2 дня адаптива?
274,Я заказал а в течение какого времени они ее вышлют мне?
275,Здравствуйте Подскажите пожалуйста а где можно взять справку об учёбе?
276,Добрый день Указал сегодня как дату заселения но не успеваю заселиться т к мой рейс в Москву сильно задерживают Как поменять дату заселения?
277,когда будет известен номер общежития и дата заселения по второму конкурсу?
278,А если у меня дата заселения 1 сентября а я приеду 2 сентября что-то будет?
279,Подскажите пожалуйста сегодня можно заселиться в общежитие до 1830?
280,Вопрос не первостепенной важности Если в школе изучал английский но всей душой его не переношу можно ли выбрать другой язык для освоения с нуля?
281,Какова вероятность что они появятся?
282,Здравствуйте Когда будут результаты заселения второго конкурса?
283,Подскажите пожалуйста как оплатить общагу онлайн? Или надо при заселении?
284,Бывают что? Вакантные места или положительные результаты о переводе?
285,А чисто по опыту прошлых лет они бывают?
286,Ясно а вероятность перевестись на бюджет в середине года есть?
287,А есть вероятность  что меня смогут принять? Тк я прошла на бюджет но отдала документы в другой вуз Или уже поздно?
288,обещали что до 2400 обновятся рейтинговые списки по 2й волне заселения уже 1 сентября и списки не обновлены - Почему?
289,Здравствуйте к кому я могу обратиться по поводу перевода из другого вуза?
290,Я не поняла общага будет или нет?
291,а ты на каком месте с учетом пола и допуска?
292,еще не пришли результаты никому?
293,Вообще не планируется в этом году?
294,Когда будет следующая волна на общагу?
295,А заселение будет происходить в общаге там же и договор можно будет подписать?
296,что туда вообще обязательно кроме фото не знает никто случайно?
