,text
34,Расписание уже есть https//docsgooglecom/spreadsheets/u/1/d/e/2PACX-1vSybcuU7Cv0_IGEg8sP7LD_mxQYu3akGUj_xxKX-5gXtdqcwAeDhtWRM8d4WGqscS3_LIQBWUThqoXk/pubhtml?gid=0&single=true
35,Здравствуйте занятия с первой недели начнутся или будет опять вводное видеообращение?
36,@Ivan_Petukhov_1 Добрый день я Рохин Владислав Дмитриевич группа 221-471  Я из числа тех людей которых должны были перевести в SG-2025 я и куратор проекта писали с данной просьбой но я все равно попал под принудительное авто распределение возможно как-то решить данный вопрос?
37,Здравствуйте Я Настькин Артем группа 211-721  Я был лидером проекта по повышению экспортного потенциала Куратор проекта (Фролова Наталья Николаевна) она отправляла заявление на мое имя чтобы меня вернули в проект У нас там уже есть готовый продуктовый результат хочется довести проект до логического завершения а не переходить на полпути на другой проект   Меня рандомно распределил на проект автономное управление универсальными транспортными платформами можно пожалуйста это как-то решить?
38,Добрый день записался на проект спортивная команда «PolytechONE»  Однако никакого собеседования на данный проект не проходил  Вопрос нужно ли проходить собеседования на данный проект если по факту на него уже зачислен? С Уважением Ануфриев Илья @Ivan_Petukhov_1
39,Здравствуйте Когда открылась запись на проекты я должен был записаться на проект Наставничество в ВЕБ так как прошел предварительное собеседование но пригласить предварительно  смогли не всех Все места сразу были заняты и мне пришлось записаться на другой проект Писал вам на почту но ответа пока не приходило Возможно ли меня переместить в эту группу проектной деятельности так как я уже прошел собеседование и подхожу этому проекту? Проект Наставничество в ВЕБ Тематика IT Линников Егор Владиславович 231-323
40,Добрый день Кто сейчас выступает в роли координатора ЦПД?
41,Добрый день Вышел из академа хочу присоединиться к проекту Предварительно договаривались об этом со всеми ответственными за проект а также с предыдущим куратором ПД Ксенией Малыхиной Нужно ли заполнять какие-то формы в ЛК? Или достаточно этого сообщения?  Проект Наставничество в ВЕБ Тематика IT  Бухарцев Матвей Александрович 211-321 (новая группа)
42,"2 Участники дискуссии в подавляющем большинстве либо вовсе не читали регламент чата либо разрешили себе его не выполнять Регламент закреплён и доступен для чтения Без регистрации и СМС Коротко изложу его смысл с краткими же комментариями – чат создан для оперативного сбора сообщений о проблемах Не для их обсуждения Не для воспоминаний о былом И тем более не для флуда и/или репоста рекламы фоточек видосиков и голосовых сообщений любой степени великолепности – сотрудники ЦПД по чисто арифметическим причинам (это не колл-центр) не в состоянии и следовательно не могут быть обязаны отвечать на каждое сообщение Особенно в нерабочее время Время — московское (да внезапно) – информативными по определению являются ТОЛЬКО деанонимизированные сообщения Много ли тут таких? – не обобщайте не выдумывайте не ссылайтесь на анонимное мнение услышанное в общаге или в столовой (цепочку можете продолжить самостоятельно) При рассмотрении любой жалобы мы можем проверить (и стараемся проверять если позволяет время) любой изложенный в ней факт и выявленные несоответствия автоматически понижают приоритет вашей заявки Например сообщения в чат в стиле ""я хотела продолжить работу на проекте X а он мне недоступен это ошибка ЦПД"" — мало того что априори вторичны так ещё и ложны если проекта X в текущем семестре вообще нет Вообще всем участникам дискуссий стоит привыкать спрашивать и уточнять ДО того как делать выводы и строить планы (свежий пример — игра в угадайку с количеством студентов) И отвечать на подобные вопросы только в том случае если у вас есть твёрдое знание а не мнение"
43,Я давно задумался прийти в ЦПД с проектом который будет направлен на автоматизацию ЦПД что скажете?  Ещё есть идея сделать единую комиссию по всему Политеху (действительно работающую) которая будет выслушивать неравнодушных студентов и доконать (некоторое) руководство  А комиссию которая проверяет работу преподавателей перенести в ответственность другим тем же студентам например   Много что можно было бы сделать жаль что никто этим заниматься не собирается а нормальных подходов к этому нет  Опять-таки идея - сделать этот самый подход💃
44,Россия санкции на использование магии наложила?🤣
45,А чо вы так прямо утверждаете что я не на инвалидной коляске Может быть и на ней время от времени?😶  В ЦПД я конечно схожу но сам факт наличия чатов и прямо коррелирующего с ними игнора меня конечно смешат
46,Вроде век цифровизации?   А если я например на инвалидной коляске?   Тоже ножками в университет прийти?  Почему вообще надо приходить очно если для этого существуют чаты с представителями ЦПД (где они кстати тоже успешно игнорят)? Или созерцание моего внешнего вида прямо повлияет на их желание пошевелиться?
47,Вы напишите конкретные свои проблемы а так ваши проблемы улетели вверх и их очевидно никто не увидит я даже хз о чем тут у вас спор тем более сотрудникам цпд делать нечего читать поэмы чьи-то?)
48,Почему сотрясать воздух? Мы не высосали проблему из пальца Мы пришли с конкретной проблемой — решить проблему распределения потому что многих людей закинуло совсем «не туда»  И даже ладно бы можно было закрыть глаза на это если б сам ЦПД чёрным по белому не писал что у него существует так называемая форма по ошибкам Сам ЦПД призывал — если что-то не так пишите туда мы все заявки рассмотрим  Меня вот этот аспект интересует Даже не то как работает эта шляпная система распределения а сам факт почему ЦПД даёт возможность студентам написать отчёт говорит «мы всё рассмотрим» а по итогу сидят по углам и очевидные вопросы игнорят?😶
49,А что не так? Для чего ещё этот чат?
50,Тогда какой смысл был в вашем сообщении выше о терпении если вы сами понимаете что ничего не добьётесь?)
51,Интересное мнение извиниться чтобы что? Потешить чьё-то эго или что дадут извинения? Наоборот в таких ситуациях нельзя давать слабину и идти на чьем-то поводу
52,Так придите поговорить очно в чем проблема?)
53,Не говорю что решать не стоит Но проблемы с проектами из года в год жалобы из года в год их никто не решает я рассказываю почему) Плохо ли это? Конечно Ожидаемо ли это? Тем более Вы можете сколько угодно сотрясать воздух но как вы видите сейчас никто из ЦПД уже даже не пишет ответы в чат
54,Откуда ты эти цифры берешь? Откуда 18 ?
55,Я почему-то уверена что двадцать человек — это те которые публично тут выражают своё недовольство  А как же те которые в этой группе не состоят или просто смирились с выбором?
56,Где можно узнать о ПД на 1 курсе поподробнее? Не понимаю пока что ничего
57,"Нужен конкретный ответ от админов ЦПД а не что-то замыленное Дают какую-то надежду ответами из разряда ""Мы видим все ваши заявки"" - окей что дальше? Да блин если ничего делать с этой ситуацией не собираетесь хотя бы скажите об этом к чему подносить пищу для размышления? ""Да мы совершили ошибку"" ""Да мы забили на это"" Вариантов не так уж и много игнор или игнор"
58,Это конечно ладно во всём надо искать свои плюсы как сказал тут кто-то но просто сам факт — меня немного интересует вопрос зачем вообще нужна была эта форма техподдержки если по итогу от неё толку нуль?
59,Да мы уже все поняли что Вы попали туда куда хотели и Вас это не коснулось и жизнь прекрасна и всё в таком ключе Давайте мы будем говорить всё-таки за тех людей которым (хоть и не большинству но всё же они существуют) целый год два раза в неделю предстоит работать над какой-то шляпой которую они не выбирали? И люди которые надеялись что им этот вопрос решить помогут а многие писали в форму техподдержки и преподаватели их тоже писали в поддержку а в итоге получили — что? Фиг без масла
60,"""20 человек меньше единичных"" ?"
61,Поэтому по такой логике на эту сотню людей можно «забить» и ничего не делать?   Какой вообще смысл делать форму об ошибке если все на неё кладут и не по одному разу?
62,Нет Но разве ЦПД не должен решать такин вопросы? Я не согласен с тем что такие вопросы должны оставаться проблемами студентов
63,А почему нельзя просто многих студентов которые не хотят менять свои проекты оставить там где они и были ? Зачем постоянно менять если по итогу бОльшая часть студентов потом опять пытается вернуться к своему проекту ?  Самое обидное когда у тебя есть наработки а тебя выкидывают  Почему нельзя было сделать так чтобы выбор был у тех кто хочет сменить проект ?( У меня просто вышла ситуация из разряда была на крутом проекте а оказалась на какой-то странной вещи которая мне не интересна  Выбор же есть чтобы студент выбрал что-то интересное а не сидел занимался тем что ему вообще не нравится Продуктивности у такого студента будет мало лишь бы баллы набрать 🥹 Чисто имхо мб я где-то не права
64,На чем основан вывод что единичны? Если 20 человек это уже не единичны а ДЕСЯТКИ А тут явно более ста человек Можно даже спросить сколько было отправлено отчётов на счёт тех ошибок при выборе проекта
65,Добрый день я Шведченко Олеся группа 231-338 я писала заявление о переводе на другой проект потому что моего проекта на котором я была два семестра не было в витрине проектов во время выбора и пришлось выбрать сторонний проект но когда он все таки появился отменить выбор уже нельзя было Я заполняла заявку о переводе на другой проект на котором я была изначально но меня так и не перевели хотя некоторых студентов которые столкнулись с такой же проблемой все таки назначили на нужные проекты Что я могу сделать чтобы меня перевели на нужный проект?
66,Здравствуйте Я Вертаева Виктория 221-351 как мне найти куратора с этого проекта?
67,Зачем вообще нужна была эта гугл форма? Если на нее всем абсолютно плевать было
68,здравствуйте можно ли будет поменять проект который назначил рандомайзер? я так понимаю я не один с этой проблемой
69,Здравствуйте Я Попович Данил Олегович Группа 231-325  Я подавал заявку на проект группа проектов САПР разработки (лабаратория сапр) Подавал отдельно форму об ошибке подачи заявки на проект  К сожалению я попал на проект по автораспределению Можно ли попасть на тот проект на который я подавал заявку?
70,Добрый день я Рохин Владислав Дмитриевич группа 221-471  Я из числа тех людей которых должны были перевести в SG-2025 и на нас писали письмо с просьбойно я попал под принудительное автораспределение можно как-то решить данный вопрос?
71,Хахахахаха сейчас август))  Какая проектная деятельность?)))
72,Есть кто-нибудь с проекта Слюдариум? Не могу разобраться В расписании с проектами нет Слюдариума а сам Слюдариум и его руководитель тоже не в курсе
73,а если не выбрал проект то сколько ждать автораспределния?
74,Добрый день есть кто с проекта «студенческий клуб путешествий»? Добавьте пожалуйста в беседу если есть
75,"Здравствуйте всем  Можно попросить?  У кого есть и прикрепил проект ""Инфографика для популяризации свободного ПО"" ?"
76,Здравствуйте возможно ли такое что расписание на проект ещё не появилось?
77,Здравствуйте  Подскажите пожалуйста как узнать адрес выбранного проекта?
78,Здравствуйте не подскажете как будет составляться расписание занятий для проектов инициатором которых являются студенты? Как будет происходить назначение куратора и будет ли?
79,А что насчёт двух ПД в неделю Это какой-то сбой в системе или теперь действительно два раза предусмотрено в расписании?
80,Добрый день подскажите пожалуйста если человек не успел выбрать проект в назначенный день то когда будет известно на какой проект его закинули?
81,И ещё хотелось бы про этот проект узнать его в таблице нет Или она ещё не закончена?
82,Здравствуйте занятия по пд теперь проходят 2 раза в неделю?
83,Добрый день Где можно ознакомиться с актуальным графиком пересдач ЦПД за летнюю сессию?
84,Здравствуйте от участников проекта ГрафКомикс тематика IT было направлено несколько писем относительно ошибок зачисления на проект При подаче на проект он был в общей базе недоступен и сейчас мы не знаем кто конкретно у нас на проекте числится в участниках на этот год Учащиеся которые хотели попасть в проект и не смогли из-за технических неполадок на сайте писали письма в администрацию У многих кто отправил жалобу информация в личном кабинете так и не обновилась Можно запросить список участников проекта ГрафКомикс на данный момент а также в связи с техническими ранее неполадками перевести нескольких учащихся на наш проект? ФИО учеников которых нужно перевести я присылала куратору
85,Решили всё-таки начать процесс теперь?
86,Здравствуйте все ещё нет ответа на форму тех ошибок когда приблизительно стоит ждать рассмотрения формы ? Тулин КА 221-323
87,Здравствуйте все ещё нет ответа на форму тех ошибок когда приблизительно стоит ждать рассмотрения формы ? Канеев Р Р 231-3310
88,Здравствуйте все ещё нет ответа на форму тех ошибок когда приблизительно стоит ждать рассмотрения формы ? Салина ЕА 221-811
89,А можно ли поменять проект (с стратегического на стратегический) если куратор не против и места есть?
90,Здравствуйте Когда ждать ответ на форму тех сбоя? Марянин КА 211-113
91,здравствуйте я должна была получить приглашение но оно не пришло отправляла форму в лк до сих пор проекта нет нужно дальше просто ждать?
92,Здравствуйте так и не дождался ответа на форму тех ошибок когда приблизительно стоит ждать рассмотрения формы ?
93,Здравствуйте Как будет происходить распределение на подпроекты в игровой индустрии?
94,Здравствуйте подскажите пожалуйста когда ждать ответ на форму тех ошибок и по поводу приглашений на проекты?
95,"Добрый день меня зовут Дергачев Сергей Сергеевич 211-271 хотел записаться на пд ""Создание и развитие музейно-выставочных площадок Московского Политеха"" но не смог записаться где можно найти форму техсбоя и заполнить ее ?"
